"On a scale of 1–10, how intense is the emotion conveyed by the artwork?",This art piece makes me feel sombre.,This art piece makes me feel content.,This art piece makes me feel calm.,This art piece makes me feel uneasy.,How many prominent colours do you notice in this painting?,How many objects caught your eye in the painting?,How much (in Canadian dollars) would you be willing to pay for this painting?,Painting_Target,room_Living_room,room_Bedroom,room_Office,room_Dining_room,room_Bathroom,with_Coworkers_Classmates,with_By_yourself,with_Friends,with_Family_members,with_Strangers,season_Fall,season_Winter,season_Spring,season_Summer,feelings_calm,feelings_happy,feelings_peaceful,feelings_relaxed,feelings_sad,feelings_life,feelings_world,feelings_night,feelings_quiet,feelings_warm,feelings_nostalgic,feelings_uneasy,feelings_content,feelings_peace,feelings_nature,food_salad,food_ice_cream,food_soup,food_blueberry,food_cake,food_bread,food_pizza,food_cheese,food_chocolate,food_pie,food_sandwich,food_spaghetti,food_apple,food_pasta,food_cheesecake,sound_slow,sound_piano,sound_calm,sound_soft,sound_quiet,sound_violin,sound_peaceful,sound_upbeat,sound_light,sound_classical,sound_happy,sound_wind,sound_sad,sound_gentle,sound_low
7.0,3.0,4.0,4.0,2.0,5.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,3.0,2.0,1.0,2.0,4.0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,4.0,1.0,1.0,4.0,4.0,3.0,5.0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,4.0,1.0,2.0,4.0,10.0,7.0,0.0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,3.0,4.0,5.0,3.0,4.0,6.0,300.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.0,4.0,2.0,1.0,5.0,5.0,6.0,90000.0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,4.0,2.0,2.0,4.0,3.0,3.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,2.0,2.0,4.0,7.0,8.0,150.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8.0,5.0,2.0,2.0,4.0,3.0,4.0,20.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,5.0,3.0,1.0,5.0,3.0,5.0,100000000.0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
